Vector_RESET Interrupt_Reset
Dungeon_EraseInteractive2x2 RoomDraw_16x16Single
PushBlock_StoppedMoving PushBlock_CheckForPit
Dungeon_GetInteractiveVramAddr RoomDraw_16x16SingleSingleTileStripe
Dungeon_RevealCoveredTiles Dungeon_LiftAndReplaceLiftable
Dungeon_CustomIndexedRevealCoveredTiles ThievesAttic_DrawLightenedHole
return0_loc_81DAB6 FAIL_01DAB4
Dungeon_ToolAndTileInteraction HandleItemTileAction_Dungeon
Dungeon_GetUprootedTerrainSpawnCoords ManipBlock_Something
Dungeon_LoadSecret RevealPotItem
Dungeon_SpriteInducedTilemapUpdate Dungeon_UpdateTileMapWithCommonTile
Dungeon_ClearRupeeTile Dungeon_DeleteRupeeTile
Dungeon_OpenKeyedObject OpenChestForItem
Dungeon_OpenBigChest OpenBigChest
Dungeon_ShowMinigameChestMessage OpenMiniGameChestFail
Dungeon_OpenMiniGameChest OpenMiniGameChest
Dungeon_GetRupeeChestMinigamePrize_highStakes OpenMiniGameChest_HighStake
Dungeon_GetKeyedObjectRelativeVramAddr RoomTag_BuildChestStripes
Dungeon_TurnOffWater_Case0 IncrementallyDrainSwampPool
Dungeon_TurnOffWater_Case1 DeleteSwampPoolWaterOverlay
Dungeon_TurnOnOffWater_Func0 Dungeon_FloodSwampWater_PrepTileMap
Dungeon_TurnOnWaterLong Dungeon_FloodSwampWater
Dungeon_TurnOnWaterLong_Func4 Dungeon_FloodSwampWater_VomitWater
Dungeon_OnOffWater_Helper Dungeon_AdjustWaterVomit
Dungeon_TurnOnWaterLong_Func9 Dungeon_FloodSwampWater_SpillToFloor
Dungeon_TurnOnWater_Func11 Dungeon_FloodSwampWater_RiseInLevel
Watergate_Main Dungeon_FloodDam
sub_81F309 EXIT_01F307
Watergate_Main_State4 FloodDam_Expand
Watergate_Main_State0 FloodDam_PrepTiles_init
Watergate_Main_State5 FloodDam_Fill
Dungeon_ExtinguishFirstTorch Ganon_ExtinguishTorch_adjust_translucency
Dungeon_ExtinguishSecondTorch Ganon_ExtinguishTorch
Dungeon_ElevateStaircasePriority SpiralStairs_MakeNearbyWallsHighPriority_Entering
Dungeon_DecreaseStaircasePriority SpiralStairs_MakeNearbyWallsLowPriority
Dungeon_OpenGanonDoor_Far RoomDraw_OpenTriforceDoor
UNUSED_sub_81F6B4 UNREACHABLE_01F6B2
Dungeon_PrepOverlayDma RoomDraw_AdjustTorchLightingChange
Door_BlastWallExploding_CopyToVram ClearAndStripeExplodingWall
sub_81F908 UNREACHABLE_01F906
Dungeon_DrawOverlay Dungeon_DrawRoomOverlay
Dung_AnimTrapDoor_Up GetDoorDrawDataIndex_North_clean_door_index
Dung_AnimDoor_Up DoorDoorStep1_North
Dung_AnimDoor_Up_Inner GetDoorDrawDataIndex_North
Dung_AnimDoorB_Up DrawDoorToTileMap_North
Dung_AnimTrapDoor_Down GetDoorDrawDataIndex_South_clean_door_index
Dung_AnimDoor_Down DoorDoorStep1_South
Dung_AnimDoor_Down_Inner GetDoorDrawDataIndex_South
Dung_AnimDoorB_Down DrawDoorToTileMap_South
Dung_AnimTrapDoor_Left GetDoorDrawDataIndex_West_clean_door_index
Dung_AnimDoor_Left DoorDoorStep1_West
Dung_AnimDoor_Left_Inner GetDoorDrawDataIndex_West
Dung_AnimDoorB_Left DrawDoorToTileMap_West
Dung_AnimTrapDoor_Right GetDoorDrawDataIndex_East_clean_door_index
Dung_AnimDoor_Right DoorDoorStep1_East
Dung_AnimDoor_Right_Inner GetDoorDrawDataIndex_East
Dung_AnimDoorB_Right DrawDoorToTileMap_East
sub_81FD3E ClearDoorCurtainsFromTileMap
Dung_AnimDoorB_Remap GetDoorGraphicsIndex
Door_BlastWallExploding_Helper3 ClearExplodingWallFromTileMap
Door_BlastWallExploding_Helper4 ClearExplodingWallFromTileMap_ClearOnePair
Dungeon_ApplyOverlayAttr Dungeon_DrawRoomOverlay_Apply
Dungeon_ApproachFixedColor ApplyGrayscaleFixed_Incremental
Player_SetElectrocutionMosaicLevel LinkZap_HandleMosaic
Player_LedgeJumpInducedLayerChange Dungeon_HandleLayerChange
Player_CacheStatePriorToHandler CacheCameraProperties
Link_CheckSwimCapability CheckAbilityToSwim
Overworld_PitDamage TakeDamageFromPit
Module_LoadFile Module05_LoadFile
Module_LoadGame_indoors LoadDungeonRoomRebuildHUD
Dungeon_InitAndCacheVars2 CacheRoomEntryProperties
Module_PreOverworld Module08_OverworldLoad
Overworld_LoadMusicIfNeeded LoadOWMusicIfNeeded
PreOverworld_LoadBunnyStuff AdjustLinkBunnyStatus
Player_RemoveBunny ForceNonbunnyStatus
Module_LocationMenu Module1B_SpawnSelect
EndingSequenceCode Credits_LoadScene_Overworld
EndingSequenceCode_0 Credits_LoadScene_Overworld_PrepGFX
EndingSequenceCode_1 Credits_LoadScene_Overworld_Overlay
EndingSequenceCode_2 Credits_LoadScene_Overworld_LoadMap
EndSequence1_Func1 Credits_OperateScrollingAndTileMap
Ending_Func7 Credits_LoadCoolBackground
Ending_CinemaSequencesIndoorsInit Credits_LoadScene_Dungeon
Module_Dungeon Module07_Dungeon
Dung_CheckTriggerInterRoomTrans Dungeon_TryScreenEdgeTransition
Dungeon_StartInterRoomTrans Dungeon_HandleEdgeTransitionMovement
Dungeon_Normal Module07_00_PlayerControl
Dungeon_IntraRoomTrans Module07_01_SubtileTransition
Dungeon_IntraRoomTransShutDoors DungeonTransition_Subtile_ResetShutters
Dungeon_IntraRoomTransInit DungeonTransition_Subtile_PrepTransition
Dungeon_IntraRoomTransFilter DungeonTransition_Subtile_ApplyFilter
Dungeon_IntraRoomTransOpenDoors DungeonTransition_Subtile_TriggerShutters
Dungeon_InterRoomTrans Module07_02_SupertileTransition
Dungeon_InterRoomTrans_State0 Module07_02_00_InitializeTransition
Dungeon_InterRoomTrans_State1 Module07_02_01_LoadNextRoom
Dung_UpdateLightsOutColor DungeonTransition_RunFiltering
Dungeon_InterRoomTrans_State2 Module07_02_FadedFilter
Dungeon_ApplyOverlay Module07_03_OverlayChange
Dungeon_OpeningLockedDoor Module07_04_UnlockDoor
Dungeon_Submodule_5_TriggerAnim Module07_05_ControlShutters
Dungeon_Submodule_6_UpFloorTrans Module07_06_FatInterRoomStairs
Dungeon_SpiralStaircase1 Module07_0E_01_HandleMusicAndResetProps
Dungeon_Teleport0 ResetTransitionPropsAndAdvance_ResetInterface
Dungeon_Staircase_Func1 ResetTransitionPropsAndAdvanceSubmodule
Dungeon_Staircase3 Dungeon_InitializeRoomFromSpecial
sub_828D01 DungeonTransition_FatStairs_RunFade
Dungeon_Staircase6 DungeonTransition_LoadSpriteGFX
Dungeon_HoleStaircase DungeonTransition_AdjustForFatStairScroll
sub_828D5F DungeonTransition_FatStairsEntryCache
Dungeon_InitAndCacheVars ResetThenCacheRoomEntryProperties
Dungeon_Staircase4 DungeonTransition_TriggerBGC34UpdateAndAdvance
Dungeon_Staircase5 DungeonTransition_TriggerBGC56UpdateAndAdvance
Dungeon_Submodule_7_DownFloorTrans Module07_07_FallingTransition
Dungeon_StraightStaircase0 Module07_07_00_HandleMusicAndResetRoom
Dungeon_StraightStaircase6 Module07_07_06_SyncBG1and2
Dungeon_StraightStaircase15 Module07_07_0F_FallingFadeIn
Dungeon_SpiralStaircase7_Inner4 Dungeon_PlayBlipAndCacheQuadrantVisits
Dungeon_StraightStaircase16 Module07_07_10_LandLinkFromFalling
Dungeon_StraightStaircase17 Module07_07_11_CacheRoomAndSetMusic
Dungeon_Straight_StaircaseDown Module07_08_NorthIntraRoomStairs
Dungeon_Straight_StaircaseDown_State0 Module07_08_00_InitStairs
Dungeon_Straight_StaircaseDown_State1 Module07_08_01_ClimbStairs
Dungeon_Straight_Staircase Module07_10_SouthIntraRoomStairs
Dungeon_Straight_StaircaseUp_State0 Module07_10_00_InitStairs
Dungeon_Straight_StaircaseUp_State1 Module07_10_01_ClimbStairs
Dungeon_DestroyingWeakDoor Module07_09_OpenCrackedDoor
Dungeon_Submodule_A Module07_0A_ChangeBrightness
Dungeon_TurnOffWater Module07_0B_DrainSwampPool
Dungeon_TurnOnWater Module07_0C_FloodSwampWater
Dungeon_Watergate Module07_0D_FloodDam
Dungeon_SpiralStaircase Module07_0E_SpiralStairs
Dungeon_SpiralStaircase15 Dungeon_DoubleApplyAndIncrementGrayscale
Dungeon_SpiralStaircase2 Module07_0E_02_ApplyFilterIf
Dungeon_SpiralStaircase7 Dungeon_SyncBackgroundsFromSpiralStairs
Dungeon_SpiralStaircase16 Dungeon_AdvanceThenSetBossMusicUnorthodox
Dungeon_Staircase_MusicFunc1 Dungeon_SetBossMusicUnorthodox
Dungeon_SpiralStaircase0 Module07_0E_00_InitPriorityAndScreens
Dungeon_SpiralStaircase19 Module07_0E_13_SetRoomAndLayerAndCache
UsedForSpiralStaircase_Helper3 RepositionLinkAfterSpiralStairs
Dungeon_SpiralStaircase7_Inner SpiralStairs_MakeNearbyWallsHighPriority_Exiting
Dungeon_Submodule_F Module07_0F_LandingWipe
Dungeon_Submodule_F_State0 Module07_0F_00_InitSpotlight
Dungeon_Submodule_F_State1 Module07_0F_01_OperateSpotlight
Dungeon_StraightStairs Module07_11_StraightInterroomStairs
StraightStairs_0 Module07_11_00_PrepAndReset
StraightStairs_1 Module07_11_01_FadeOut
StraightStairs_2 Module07_11_02_LoadAndPrepRoom
StraightStairs_3 Module07_11_03_FilterAndLoadBGChars
StraightStairs_4 Module07_11_04_FilterDoBGAndResetSprites
StraightStairs_11 Module07_11_0B_PrepDestination
StraightStairs_9 Module07_11_09_LoadSpriteGraphics
StraightStairs_16 Module07_11_19_SetSongAndFilter
StraightStairs_17 Module07_11_11_KeepSliding
Dungeon_Submodule_14_FallGap Module07_14_RecoverFromFall
Dungeon_Submodule_14_FallGap_0 Module07_14_00_ScrollCamera
Overworld_Func2A_State1 RecoverPositionAfterDrowning
Dungeon_Teleport Module07_15_WarpPad
Dungeon_Teleport1 Module07_15_01_ApplyMosaicAndFilter
Dungeon_Teleport4 Module07_15_04_SyncRoomPropsAndBuildOverlay
Dungeon_Teleport13 Module07_15_0E_FadeInFromWarp
Dungeon_Teleport14 Module07_15_0F_FinalizeAndCacheEntry
Dungeon_Submodule_16 Module07_16_UpdatePegs
Dungeon_OrangeBlueBarrierUpload_A Module07_16_UpdatePegs_Step1
Dungeon_OrangeBlueBarrierUpload_B Module07_16_UpdatePegs_Step2
Dungeon_OrangeBlueBarrierUpload_C Module07_16_UpdatePegs_Step3
Dungeon_OrangeBlueBarrierUpload Dungeon_UpdatePegGFXBuffer
sub_8297A9 Module07_16_UpdatePegs_FinishUp
Dungeon_OrangeBlueBarrierUpload_C RecoverPegGFXFromMapping
Dungeon_Submodule_17 Module07_17_PressurePlate
Dungeon_Crystal Module07_18_RescuedMaiden
Dungeon_Crystal0 PrepareForCrystalCutscene
Dungeon_Crystal1 BuildCrystalCutsceneTilemap
Dungeon_Crystal10 StartCrystalCutscene
Dungeon_Submodule_19 Module07_19_MirrorFade
Dungeon_OpenGanonDoor Module07_1A_RoomDraw_OpenTriforceDoor_bounce
UNUSED_Module_Unknown0 Module0C_Unused
UNUSED_sub_829922 Module0C_RunSubmodule
UNUSED_sub_82992E Module0C_RestoreModule
UNUSED_Module_Unknown1 Module0D_Unused
UNUSED_sub_829951 Module0D_RunSubmodule
UNUSED_sub_82995B Module0D_RestoreModule
Module_CloseSpotlight Module0F_SpotlightClose
CloseSpotlight_Init Dungeon_PrepExitWithSpotlight
OpenSpotlight_Next Spotlight_ConfigureTableAndControl
Module_OpenSpotlight Module10_SpotlightOpen
OpenSpotlight_Init Module10_00_OpenIris
Module_HoleToDungeon Module11_DungeonFallingEntrance
HoleToDungeon_FadeMusic Module_11_00_SetSongAndInit
HoleToDungeon_LoadDungeon Module11_02_LoadEntrance
HoleToDungeon_4 Module11_04_FadeAndLoadQuadrants
Module_BossVictory Module13_BossVictory_Pendant
Module_Victory_0 BossVictory_Heal
Module_Victory_1 Dungeon_StartVictorySpin
Module_Victory_2 Dungeon_RunVictorySpin
Module_Victory_3 Dungeon_CloseVictorySpin
Module_KillAgahnim Module15_MirrorWarpFromAga
Mirror_LoadMusic Module15_00_Initialize
Mirror_Init Module15_01_SetTheScene
Mirror_Func2 Module15_02_RunMirrorWarp_Part1
Mirror_Func3 Module15_03_RunMirrorWarp_Part2
MirrorWarp_LoadNext_0_Helper SetTargetOverworldWarpToPyramid
Mirror_Func30 ResetAncillaAndCutscene
Module_Victory Module16_BossVictory_Crystal
nullsub_16 EXIT_029D90
Module_Victory_4 Module16_04_FadeAndEnd
Module_GanonEmerges Module18_GanonEmerges
Module_TriforceRoom Module19_TriforceRoom
TriforceRoom_Step0 Module19_00_ResetAndInit
TriforceRoom_Step1 Module19_01_MosaicAndPalette
TriforceRoom_Step2 Module19_02_LoadMusicAndScreen
TriforceRoom_Step3 Module19_03_PrepTileSetsPalette
TriforceRoom_Step4 Module19_04_LoadAndSongAndAdvance
TriforceRoom_Step5 Module19_05_WalkLinkIn
TriforceRoom_Step6 Module19_06_MosaicFadeIn
TriforceRoom_Step7 Module19_07_PrepMessage
TriforceRoom_Step9 Module19_09_TriforceSpeak
TriforceRoom_Step8_10 Module19_TriforceExpansionControl
TriforceRoom_Step11 Module19_0B_ApproachTriforce
TriforceRoom_Step12 Module19_0C_HoldTriforce
TriforceRoom_Step13 Module19_0D_FadeToWhite
TriforceRoom_Step14 Module19_0E_AdvanceToCredits
Dungeon_SaveRoomData Mirror_SaveRoomData
Dungeon_SaveRoomData_justKeys SaveDungeonKeys
Palette_Func1 Dungeon_HandleTranslucencyAndPalettes
UNUSED_sub_82A281 UnusedInterfacePaletteRecovery
HoleToDungeon_PaletteFilter PaletteFilter_bounce
PaletteFilter_doFiltering ApplyPaletteFilter_bounce
Palette_Func1 Dungeon_HandleTranslucencyAndPalette
sub_82A2B1 UNREACHABLE_02A1A8
Dung_AdjustCoordsForNewRoom Dungeon_AdjustAfterSpiralStairs
Dungeon_AdjustCoordsForLinkedRoom Dungeon_AdjustForTeleportDoors
Module_Overworld Module09_Overworld
Overworld_DrawBadWeather OverworldOverlay_HandleRain
Overworld_Func0_Main Module09_00_PlayerControl
Overworld_CheckSwitchArea OverworldHandleTransitions
Overworld_LoadMapProperties Overworld_LoadGFXAndScreenSize
Overworld_Func0_Main_SpecialOverworld ScrollAndCheckForSOWExit
Overworld_LoadTransGfx Module09_LoadAuxGFX
Overworld_TransMapData Module09_LoadNewMapAndGFX
Overworld_Func6 Overworld_RunScrollTransition
Overworld_TransMapData2 Module09_LoadNewSprites
Overworld_TransMapData2_justScroll Overworld_StartScrollTransition
Overworld_Func7 Overworld_EaseOffScrollTransition
Overworld_FuncA_StepOutOfDoor Module09_0A_WalkFromExiting_FacingDown
Overworld_FuncB Module09_0B_WalkFromExiting_FacingUp
Overworld_Func9_DoorStuff Module09_09_OpenBigDoorFromExiting
DoorAnim_DoWork2 Overworld_DoMapUpdate32x32_B
sub_82AD63 UNREACHABLE_02AC62
Overworld_FuncC Module09_0C_OpenBigDoor
DoorAnim_Func1 Overworld_DoMapUpdate32x32_conditional
DoorAnim_DoWork Overworld_DoMapUpdate32x32
Overworld_FuncD Overworld_StartMosaicTransition
Overworld_FuncD_State2 OverworldMosaicTransition_HandleScreensAndLoadShroom
UNUSED_sub_82AEDD Module09_1D_02_FBlankAndEnterModule0A
UNUSED_sub_82AEF9 Module09_1E_02_FBlankAndLoadSPOW
Overworld_Func16 Module09_FadeBackInFromMosaic
Overworld_Func16_State0 OverworldMosaicTransition_RecoverDestinationPalettes
Overworld_State0_Helper OverworldMosaicTransition_LoadSpriteGraphicsAndSetMosaic
Overworld_Func16_State1 OverworldMosaicTransition_FilterAndLoadGraphics
Overworld_Func1C_State2 Module09_1C_02_HandleMusic
Overworld_LoadAmbientOverlayAndMapData Overworld_LoadAndBuildScreen
sub_82B1F4 Overworld_ReloadSubscreenOverlayAndAdvance
Overworld_MirrorWarp Module09_MirrorWarp
Overworld_MirrorWarp MirrorWarp_Main
Overworld_InitMirrorWarp MirrorWarp_Initialize
Overworld_FinishMirrorWarp MirrorWarp_FinalizeAndLoadDestination
MirrorWarp_LoadNext_5_Inner MirrorWarp_HandleCastlePyramidSubscreen
MirrorWarp_LoadNext_7 Overworld_DrawScreenAtCurrentMirrorPosition
MirrorWarp_LoadNext_8 MirrorWarp_LoadSpritesAndColors
Overworld_Func2E_Whirlpool Module09_2E_Whirlpool
Overworld_Whirlpool_Case1 Module09_2E_01_MoreBlue
Overworld_Whirlpool_Case3 Module09_2E_03_FindDestination
Overworld_Whirlpool_Case5 Module09_2E_05_LoadDestinationMap
Overworld_Whirlpool_Case7 Module09_2E_07_LoadAuxGraphics
Overworld_Whirlpool_Case8 Module09_2E_08_TriggerTilemapUpdate
Overworld_Whirlpool_Case9 Module09_2E_09_LoadPalettes
Overworld_Func2A Module09_2A_RecoverFromDrowning
Overworld_Func2A_State0 Module09_2A_00_ScrollToLand
Dungeon_SpiralStaircase7_Inner3 Dungeon_AdjustForRoomLayout
Dung_StartInterRoomTrans_RightPlus HandleEdgeTransitionMovementEast_RightBy8
Dung_StartInterRoomTrans_LeftPlus HandleEdgeTransitionMovementWest_LeftBy8
Dung_StartInterRoomTrans_DownPlus HandleEdgeTransitionMovementSouth_DownBy16
Dung_StartInterRoomTrans_Down HandleEdgeTransitionMovementSouth
Dung_StartInterRoomTrans_Up HandleEdgeTransitionMovementNorth
Player_CrossQuadrantBoundary_Right AdjustQuadrantAndCamera_right
Player_UpdateQuadrantsVisited SetAndSaveVisitedQuadrantFlags
Player_CrossQuadrantBoundary_Left AdjustQuadrantAndCamera_left
Player_CrossQuadrantBoundary_Down AdjustQuadrantAndCamera_down
Player_CrossQuadrantBoundary_Up AdjustQuadrantAndCamera_up
Dungeon_SaveRoomQuadrantData Dungeon_FlagRoomData_Quadrants
RoomScrollVars_Add0x100 AdjustCameraBoundaries_DownOrRight1Quadrant
RoomScrollVars_Add0x200 AdjustCameraBoundaries_DownOrRight1Supertile
RoomScrollVars_Sub0x100 AdjustCameraBoundaries_UpOrLeft1Quadrant
RoomScrollVars_Sub0x200 AdjustCameraBoundaries_UpOrLeft1Supertile
Dung_UpdateCameraScrollBounds HandleEdgeTransition_AdjustCameraBoundaries
UpdateCompositeOfLayoutAndQuadrant Dungeon_AdjustQuadrant
Dungeon_HandleScreenScrolling Dungeon_HandleCamera
Overworld_Func1 Overworld_OperateCameraScroll
Overworld_Func2 OverworldCameraBoundaryCheck
Dung_CopyInLeftRightScrollTarget DungeonTransition_AdjustCamera_X
Dung_CopyInUpDownScrollTarget DungeonTransition_AdjustCamera_Y
Dungeon_InterRoomTrans_State8 DungeonTransition_ScrollRoom
StraightStairs_10 Module07_11_0A_ScrollCamera
return_loc_82BFFA OverworldScrollTransition_dirty_exit
Overworld_Func6B OverworldScrollTransition
Overworld_SetupSomeBounds Overworld_SetCameraBoundaries
Dungeon_IntraRoomTrans_State4 DungeonTransition_FindSubtileLanding
Dungeon_Staircase_Func2 SubtileTransitionCalculateLanding
Dungeon_Staircase_Func5 DungeonTransition_MoveLinkOutDoor
Dungeon_Staircase_Func3 CalculateTransitionLanding
Overworld_Func8 Overworld_FinalizeEntryOntoScreen
Overworld_ResetMosaic ConditionalMosaicControl
Intro_InitBgSettings Intro_InitializeBackgroundSettings
Attract_LoadDungeonRoom Dungeon_LoadAndDrawEntranceRoom
Attract_LoadDungeonGfxAndTiles Dungeon_SaveAndLoadLoadAllPalettes
Dungeon_LoadAndUploadRoom Dungeon_LoadAndDrawRoom
Intro_LoadPalettes Overworld_LoadAllPalettes
Overworld_LoadAreaPalettes OverworldLoadScreensPaletteSet
Palette_ZeroPalettesAndCopyFirst SpecialOverworld_CopyPalettesToCache
Overworld_CgramAuxToMain Overworld_CopyPalettesToCache
PrayingScene_ResetHDMA CleanUpAndPrepDesertPrayerHDMA
Dungeon_LoadStartingPoint Dungeon_LoadSpawnEntrance
Overworld_LoadExitData LoadOverworldFromDungeon
Overworld_LoadExitData_alternate Overworld_LoadNewScreenProperties
Overworld_SimpleExit LoadCachedEntranceProperties
Overworld_SaveSpecialAreaExitData LoadSpecialOverworld
Overworld_LoadSpecialAreaExitData LoadOverworldFromSpecialOverworld
BirdTravel_LoadTargetAreaData FluteMenu_LoadTransport
BirdTravel_LoadTargetAreaPalettes FluteMenu_LoadSelectedScreenPalettes
Whirlpool_LookUpAndLoadTargetArea FindPartnerWhirlpoolExit
PreOverworld_LoadLevelData Module08_02_LoadAndAdvance
Overworld_LoadMapData Overworld_DrawQuadrantsAndOverlays
Overworld_LoadMapData_justOverlays Overworld_HandleOverlaysAndBombDoors
Overworld_TransVertical TriggerAndFinishMapLoadStripe_Y
Overworld_TransHorizontal TriggerAndFinishMapLoadStripe_X
Overworld_LoadTransMapData SomeTileMapChange
Overworld_StartTransMapUpdate CreateInitialNewScreenMapToScroll
UNUSED_sub_82F04B UNREACHABLE_02EDAF
Overworld_LargeTransUp CreateInitialOWScreenView_Big_North
Overworld_LargeTransDown CreateInitialOWScreenView_Big_South
Overworld_LargeTransLeft CreateInitialOWScreenView_Big_West
Overworld_LargeTransRight CreateInitialOWScreenView_Big_East
Overworld_SmallTransUp CreateInitialOWScreenView_Small_North
Overworld_SmallTransDown CreateInitialOWScreenView_Small_South
Overworld_SmallTransLeft CreateInitialOWScreenView_Small_West
Overworld_SmallTransRight CreateInitialOWScreenView_Small_East
ScrollType2 OverworldTransitionScrollAndLoadMap
ScrollType2_Down BuildFullStripeDuringTransition_North
ScrollType2_Up BuildFullStripeDuringTransition_South
ScrollType2_Left BuildFullStripeDuringTransition_West
ScrollType2_Right BuildFullStripeDuringTransition_East
Overworld_ScrollMap OverworldHandleMapScroll
Overworld_TransError Overworld_ResetSubmodule
Overworld_ScrollRight MapScroll_East
Overworld_ScrollLeft MapScroll_West
Overworld_ScrollUp MapScroll_South
Overworld_ScrollUpAndSide MapScroll_SouthAndClear
Overworld_ScrollDown MapScroll_North
Overworld_ScrollDownAndSide MapScroll_NorthAndClear
Overworld_DoScrollDown CheckForNewlyLoadedMapAreas_North
Overworld_DoScrollUp CheckForNewlyLoadedMapAreas_South
Overworld_DoScrollLeft CheckForNewlyLoadedMapAreas_West
Overworld_DoScrollRight CheckForNewlyLoadedMapAreas_East
Overworld_DrawHorizontalStrip BufferAndBuildMap16Stripes_X
Overworld_DrawVerticalStrip BufferAndBuildMap16Stripes_Y
Overworld_LoadMap32 Overworld_DecompressAndDrawAllQuadrants
Overworld_LoadQuadrant16x16 Overworld_DecompressAndDrawOneQuadrant
InterlaceMap32_highBytes BlockMoveMap32Chunks_High
InterlaceMap32_lowBytes BlockMoveMap32Chunks_Low
Map32ToMap16 Overworld_ParseMap32Definition
LoadSubOverlayMap32 OverworldLoad_LoadSubOverlayMap32
LoadSubscreenOverlay LoadOverworldOverlay
Map16ToMap8_subscreenOverlay BuildBGOverlayFromMap16
Map16ToMap8_normalArea BuildOverworldMapFromMap16
Map16ChunkToMap8 OverworldCopyMap16ToBuffer
Overworld_RestoreFailedWarpMap16 MirrorBonk_RecoverChangedTiles
LoadEnemyDamageData DecompressEnemyDamageSubclasses
Overworld_Decomp Decompress_bank02
Sprite_HelmasaurFireballTrampoline Sprite_70_KingHelmasaurFireball_bounce
Sprite_WallCannon Sprite_66_WallCannonVerticalLeft
SpritePrep_ArcheryGameGuy SpritePrep_ArrowGame
Sprite_ArcheryGameGuy Sprite_65_ArcheryGame
ArcheryGameGuy_Main ArcheryGame_Host
ArcheryGameGuy_RunGame ArcheryGame_Host_ProctorGame
Sprite_GoodArcheryTarget Sprite_ArcheryGame_Octo
GoodArcheryTarget_DrawPrize ArcheryGame_DrawPrize
Sprite_DebirandoPit Sprite_63_DebirandoPit
Sprite_Debirando Sprite_64_Debirando
Debirando_UnderSand Debirando_Underground
Debirando_ShootFireball Debirando_Shoot
Sprite_MasterSword Sprite_62_MasterSword
Sprite_MasterLightFountain Sprite_MasterSword_LightFountain
Sprite_MasterLightWell Sprite_MasterSword_LightWell
MasterSword_DrawLightBall SpriteDraw_LightFountain
Sprite_MasterLightBeam Sprite_MasterSword_LightBeam
MasterLightBeam_SpawnAnotherBeam MasterSword_SpawnReplacementLightBeam
MasterSword_SpawnLightBeams MasterSword_SpawnLightBeam
MasterSword_SpawnPendant MasterSword_SpawnPendantProp
Sprite_MasterSwordPendant Sprite_MasterSword_Prop
MasterSwordPendant_DriftingAway MasterSword_Prop_Floating
MasterSwordPendant_Flashing MasterSword_Prop_Flashing
MasterSwordPendant_FlyAway MasterSword_Prop_FlyAwayNow
Sprite_SpikeRoller Sprite_5D_Roller_VerticalDownFirst
Sprite_Beamos Sprite_61_Beamos
Beamos_FireBeam Beamos_FireLaser
Beamos_DrawEyeball SpriteDraw_Beamos_Eyeball
Sprite_BeamosLaser Sprite_Beamos_Laser
BeamosLaser_PrepOamCoord Sprite_PrepOamCoord_wrapper
Sprite_BeamosLaserHit Sprite_Beamos_LaserHit
Sprite_Spark Sprite_5B_Spark_Clockwise
Sprite_LostWoodsBird Sprite_59_LostWoodsBird
sub_85944C LostWoodsBird_Ascend
Sprite_LostWoodsSquirrel Sprite_5A_LostWoodsSquirrel
Sprite_Crab Sprite_58_Crab
Sprite_DesertBarrier Sprite_57_DesertStatue
Sprite_ZoraAndFireball Sprite_55_Zora
Sprite_ZoraFireball Sprite_Fireball
Sprite_Zora Sprite_Zora_Main
Zora_ChooseSurfacingLocation Zora_Submerged
Zora_Surfacing Zora_Surface
Zora_Submerging Zora_Submerge
Sprite_ZoraKing Sprite_52_KingZora
ZoraKing_WaitingForPlayer KingZora_Idle
ZoraKing_RumblingGround KingZora_TheRumbling
ZoraKing_Surfacing KingZora_Surface
ZoraKing_Dialogue KingZora_Talking
ZoraKing_Submerge KingZora_Submerge
Sprite_SpawnSplashRingLong Sprite_Arrghus_SpawnSplash
Sprite_SpawnSplashRing Sprite_SpawnBigSplash
Sprite_WalkingZora Sprite_56_WalkingZora
WalkingZora_Waiting WalkingZora_Wait
WalkingZora_Surfacing WalkingZora_Surface
WalkingZora_Ambulating WalkingZora_Walking
WalkingZora_Depressed WalkingZora_Stunned
WalkingZora_DetermineShadowStatus WalkingZora_AdjustShadow
WalkingZora_DrawWaterRipple WalkingZora_DrawWaterRipples
Sprite_AutoIncDrawWaterRipple SpriteDraw_WaterRipple_WithOamAdjust
Sprite_DrawWaterRipple SpriteDraw_WaterRipple
Sprite_ArmosKnight Sprite_53_ArmosKnight
Lanmola_FinishInitialization SpritePrep_Lanmolas
Sprite_Lanmola Sprite_54_Lanmolas
Sprite_Lanmola_00 Sprite_Lanmolas_Hiding
Sprite_Lanmola_01 Sprite_Lanmolas_BurrowingUp
Sprite_Lanmola_02 Sprite_Lanmolas_LeapFromSand
Sprite_Lanmola_03 Sprite_Lanmolas_WiggleInAir
Sprite_Lanmola_04 Sprite_Lanmolas_BurrowDown
Sprite_SpawnFallingItem Ancilla_SpawnFallingPrize
Sprite_Lanmola_05 Sprite_Lanmolas_Exploding
Sprite_Rat Sprite_6D_Rat
Sprite_Rope Sprite_6E_Rope
Sprite_Keese Sprite_6F_Keese
Sprite_CannonBall Sprite_Cannonball
Sprite_CheckDamageBoth Sprite_CheckDamageToAndFromLink
Sprite_CannonTrooper_UNUSED Sprite_6B_Cannonball
sub_85AC34 CannonGuard_FaceLink
sub_85AC52 CannonGuard_Charge
sub_85ACF2 CannonGuard_Fire
sub_85AD12 CannonGuard_Recoil
sub_85AD28 CannonGuard_Recover
CannonTrooper_Draw_UNUSED SpriteDraw_CannonGuard
Sprite_WarpVortex Sprite_6C_MirrorPortal
Sprite_ChainBallTrooper Sprite_6A_BallNChain
